Source,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,Fri Jun 15 11:18:36 +0000 2018,🖼️😲 Brazen thief bags himself a Banksy. https://t.co/vGqitgGppc,-0.5267,0.0,0.638,0.362,71
@BBC,Fri Jun 15 11:00:19 +0000 2018,"😋🍓 Strawberry season is upon us! 

Here are eight flavours you never knew went well with them.
👉… https://t.co/v5N71CZaKW",-0.2746,0.0,0.895,0.105,72
@BBC,Fri Jun 15 10:05:03 +0000 2018,"This was a special moment. 💕 @5SOS cover @AliceMerton's 'No Roots' in the @BBCR1 Live Lounge... 

https://t.co/CfjifsatE6",0.128,0.151,0.726,0.123,73
@BBC,Fri Jun 15 09:56:53 +0000 2018,"RT @BBCiPlayer: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Not one to mi…",0.5719,0.139,0.861,0.0,74
@BBC,Fri Jun 15 09:26:50 +0000 2018,RT @bbcpress: Record-breaking drama #KeepingFaith is coming to @BBCOne! https://t.co/rzAvOffv7Z @TeamEveMyles https://t.co/hG2SRqFg6O,0.0,0.0,1.0,0.0,75
@BBC,Fri Jun 15 09:10:53 +0000 2018,"🙈 Wondering what happened to the daredevil raccoon caught scaling a skyscraper?
#MPRraccoon https://t.co/JhViVNSMml",0.128,0.12,0.88,0.0,76
@BBC,Fri Jun 15 08:00:08 +0000 2018,😍 ☁️ A beautiful phenomenon caught on film.  https://t.co/wz6CUbJDR1,0.5994,0.394,0.606,0.0,77
@BBC,Fri Jun 15 07:28:02 +0000 2018,"It’s possible to forget your first language, even as an adult. But how, and why, this happens is complex and counte… https://t.co/lfC6NySCr5",-0.2263,0.0,0.917,0.083,78
@BBC,Fri Jun 15 07:00:15 +0000 2018,"In her spare time, Claire gives 3D nipple tattoos to women who've had mastectomies.
#HearHer via @BBCThree https://t.co/VhmjtZRVQs",0.0,0.0,1.0,0.0,79
@BBC,Thu Jun 14 19:32:00 +0000 2018,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Kate… https://t.co/VbnExFqEI1",0.5719,0.163,0.837,0.0,80
@BBC,Thu Jun 14 19:03:07 +0000 2018,Anne Robinson meets women from across the UK to find out - 100 years on from suffrage - what's still preventing the… https://t.co/0Vkrm7bFz6,-0.0258,0.0,0.948,0.052,81
@BBC,Thu Jun 14 18:00:25 +0000 2018,"'I'm glad you're in my life.'

💕 How dementia has brought together a 71-year-old and an 18-year-old. https://t.co/5yTs9XYxEj",0.4588,0.167,0.833,0.0,82
@BBC,Thu Jun 14 16:00:21 +0000 2018,"😂🦈  If you haven't seen @AlanDavies1's shark impression, you haven't lived. 
#QI https://t.co/LdUwTLxRps",0.2263,0.137,0.863,0.0,83
@BBC,Thu Jun 14 15:13:23 +0000 2018,💚 Hundreds of people have taken part in a silent procession in honour of the 72 people killed in the Grenfell Tower… https://t.co/uBVXW3wwgs,-0.2023,0.136,0.699,0.165,84
@BBC,Thu Jun 14 13:10:42 +0000 2018,"RT @bbcthree: This is what painful sex feels like. #HearHer 

(you'll want sound on) https://t.co/NyMtT7wFK4",-0.0258,0.203,0.642,0.155,85
@BBC,Thu Jun 14 13:01:07 +0000 2018,"""We gave him some food so hopefully he'll be back"": this fox climbed onto a London roof to sunbathe. 🦊😎… https://t.co/l9mI0SMSbA",0.541,0.155,0.845,0.0,86
@BBC,Thu Jun 14 12:24:25 +0000 2018,😂⚽️ There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th… https://t.co/T4RLt9VxUl,0.3774,0.231,0.681,0.088,87
@BBC,Thu Jun 14 12:11:30 +0000 2018,"RT @BBCNews: Grenfell Tower, and 12 other London buildings, illuminated green to mark one year since the fire that claimed 72 lives 

A nat…",-0.34,0.0,0.902,0.098,88
@BBC,Thu Jun 14 12:01:05 +0000 2018,❤️🐶 From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,0.4753,0.192,0.808,0.0,89
@BBC,Thu Jun 14 11:00:18 +0000 2018,"😍🐐 'Love is evil – it will make you fall in love with a goat.'

12 Russian proverbs to get you through the… https://t.co/UoHrrXNBIg",0.6124,0.264,0.597,0.138,90
@BBC,Thu Jun 14 08:01:02 +0000 2018,📚 These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,0.0,0.0,1.0,0.0,91
@BBC,Thu Jun 14 07:27:04 +0000 2018,"How our teenage years shape our personality. 
👉 https://t.co/QJTAN44EEc https://t.co/jnEjheADKI",0.0,0.0,1.0,0.0,92
